GKA,Goroka Airport,Goroka;HGU,LAE,MAG,POM;-6.08169,145.391998
MAG,Madang Airport,Madang;GKA,HGU,LAE,WWK,MAS,POM,VAI;-5.20708,145.789001
HGU,Mount Hagen Kagamuga Airport,Mount Hagen;GKA,LAE,MAG,MXH,POM,TBG,TIZ,WWK,UNG;-5.82679,144.296005
LAE,Nadzab Airport,Nadzab;DAU,GKA,HGU,HKN,MAG,MAS,PNP,POM,RAB;-6.569803,146.725977
POM,Port Moresby Jacksons International Airport,Port Moresby;BNE,BUL,DAU,GKA,GUR,HGU,HKN,LAE,MXH,PNP,RAB,TBG,TIZ,UNG,BUA,CEB,CMU,CNS,DPS,HIR,HKG,KVG,MAG,MAS,MDU,MNL,NAN,NRT,SIN,SYD,VAI,WBM,WWK;-9.44338,147.220001
WWK,Wewak International Airport,Wewak;HGU,MAG,POM,VAI;-3.58383,143.669006
UAK,Narsarsuaq Airport,Narssarssuaq;GOH,JFR,JJU,JNS,SFJ;61.1605,-45.425999
GOH,Godthaab / Nuuk Airport,Godthaab;JAV,JFR,JHS,JSU,KEF,SFJ,UAK,RKV;64.190903,-51.678101
SFJ,Kangerlussuaq Airport,Sondrestrom;CPH,GOH,JAV,JEG,JHS,JSU,UAK;67.012222,-50.711603
THU,Thule Air Base,Thule;NAQ;76.531197,-68.703201
AEY,Akureyri Airport,Akureyri;RKV;65.660004,-18.072701
EGS,Egilsstaðir Airport,Egilsstadir;RKV;65.283302,-14.4014
IFJ,Ísafjörður Airport,Isafjordur;RKV;66.058098,-23.1353
KEF,Keflavik International Airport,Keflavik;HEL,BGO,OSL,AMS,ARN,BLL,BOS,BRU,CDG,CPH,DEN,EWR,FRA,GLA,IAD,JFK,LGW,LHR,MAN,MUC,SEA,SFB,YEG,YYZ,ZRH,GOH,BRS,BSL,EDI,LTN,ALC,SXF,TRD,SVG;63.985001,-22.6056
RKV,Reykjavik Airport,Reykjavik;AEY,EGS,GOH,IFJ;64.129997,-21.940599
YAM,Sault Ste Marie Airport,Sault Sainte Marie;YYZ,YQT,YSB,YTZ;46.485001,-84.509399
YAY,St. Anthony Airport,St. Anthony;YBX,YYR,YYT;51.391899,-56.083099
YBC,Baie Comeau Airport,Baie Comeau;YUL,YYY,YQB,YWK;49.1325,-68.204399
YBG,CFB Bagotville,Bagotville;YUL,YHU,YQB,YZV,YWK;48.330601,-70.996399
YBK,Baker Lake Airport,Baker Lake;YCS,YXN,YRT,YUT;64.298897,-96.077797
YBL,Campbell River Airport,Campbell River;YQQ,YVR;49.950802,-125.271004
YBR,Brandon Municipal Airport,Brandon;YYC;49.91,-99.951897
YCB,Cambridge Bay Airport,Cambridge Bay;YCO,YYH,YZF,YHK;69.108101,-105.138
YCD,Nanaimo Airport,Nanaimo;YVR,YYC;49.05497,-123.869863
YCG,Castlegar/West Kootenay Regional Airport,Castlegar;YVR,YYC;49.296398,-117.632004
YCL,Charlo Airport,Charlo;YHZ,YWK;47.990799,-66.330299
YCO,Kugluktuk Airport,Coppermine;YCB,YZF,YHI;67.816704,-115.143997
YCY,Clyde River Airport,Clyde River;YFB,YIO;70.486099,-68.516701
YZS,Coral Harbour Airport,Coral Harbour;YRT,YUT,YCS,YTE;64.193298,-83.359398
YDF,Deer Lake Airport,Deer Lake;YHZ,YYR,YYT,YYZ,YJT;49.2108,-57.391399
YDQ,Dawson Creek Airport,Dawson Creek;YVR,YYE;55.742298,-120.182999
YEG,Edmonton International Airport,Edmonton;YXY,YZF,YOJ,YOP,YXJ,YYC,DFW,LAS,LAX,PHX,DEN,EWR,IAH,LHR,ORD,SFO,YMM,YOW,YQR,YQU,YUL,YVR,YWG,YXE,YYZ,SEA,MSP,KEF,YHY,YSM,CUN,PSP,PVR,YHM,YLW,YQQ,YXX,YYJ;53.3097,-113.580002
YEK,Arviat Airport,Eskimo Point;YXN,YYQ,YRT;61.0942,-94.070801
YEV,Inuvik Mike Zubko Airport,Inuvik;YVQ,YHI,YPC,YSY,YUB,ZFM,YGH;68.304199,-133.483002
YFB,Iqaluit Airport,Iqaluit;YCY,YGT,YOW,YRT,YTE,YUX,YXP,YAB,YLC,YVP;63.756402,-68.555801
YFC,Fredericton Airport,Fredericton;YHZ,YOW,YUL,YYZ;45.8689,-66.537201
YFO,Flin Flon Airport,Flin Flon;YQD,YTH,YWG;54.678101,-101.681999
YFS,Fort Simpson Airport,Fort Simpson;YZF;61.760201,-121.237
YGK,Kingston Norman Rogers Airport,Kingston;YYZ;44.2253,-76.596901
YGL,La Grande Rivière Airport,La Grande Riviere;YGW,YPX,YUL;53.625301,-77.704201
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe;YGR,YQB;48.775299,-64.4786
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine;YGP,YQB,YVB;47.424702,-61.778099
YHD,Dryden Regional Airport,Dryden;YQK,YQT,YRL,YXL;49.831699,-92.744202
YHI,Ulukhaktok Holman Airport,Holman Island;YEV,YSY,YCO;70.762802,-117.806
YHK,Gjoa Haven Airport,Gjoa Haven;YYH,YZF,YCB;68.635597,-95.849701
YHM,John C. Munro Hamilton International Airport,Hamilton;YEG,YHZ,YQM,YYC;43.173599,-79.934998
YHU,Montréal / Saint-Hubert Airport,Montreal;YBG,YQB,YVO,YZV;45.517502,-73.416901
YHY,Hay River / Merlyn Carter Airport,Hay River;YZF,YEG,YSM;60.839699,-115.782997
YHZ,Halifax / Stanfield International Airport,Halifax;DCA,PHL,BOS,LHR,ORD,YDF,YFC,YOW,YQM,YQX,YQY,YSJ,YUL,YYG,YYR,YYT,YYZ,FRA,LGA,YCL,FSP,MCO,EWR,CUN,MBJ,PUJ,YHM,YYC,LRM,POP,CCC,SNU,VRA;44.880798,-63.508598
YIO,Pond Inlet Airport,Pond Inlet;YCY,YGT;72.683296,-77.966698
YJT,Stephenville Airport,Stephenville;YDF,YYT;48.544201,-58.549999
YKA,Kamloops Airport,Kamloops;YVR,YXS,YYC;50.702202,-120.444
YKF,Waterloo Airport,Waterloo;ORD,YYC;43.4608,-80.378601
YKL,Schefferville Airport,Schefferville;YQB,YVP,YWK,YZV;54.805302,-66.805298
YLL,Lloydminster Airport,Lloydminster;YYC;53.3092,-110.072998
YLW,Kelowna International Airport,Kelowna;YVR,YXY,YXC,YXS,LAX,YYC,SEA,YQF,YEG,YYJ,YYZ;49.9561,-119.377998
YMM,Fort McMurray Airport,Fort Mcmurray;DEN,YEG,YVR,YYC,YYZ,YPY,YQF;56.653301,-111.222
YMO,Moosonee Airport,Moosonee;YFA,YKQ,YTS;51.2911,-80.607803
YNA,Natashquan Airport,Natashquan;YZV,ZGS,YHR,ZKG;50.189999,-61.7892
YOJ,High Level Airport,High Level;YEG,YOP;58.621399,-117.165001
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa;YZF,YFB,CLT,PHL,BOS,DCA,FRA,IAD,LGA,LHR,ORD,YEG,YFC,YHZ,YQB,YQM,YUL,YVR,YWG,YXU,YYC,YYT,YYZ,DTW,YTZ,EWR;45.322498,-75.669197
YPL,Pickle Lake Airport,Pickle Lake;YQT,YWP;51.4464,-90.214203
YPN,Port Menier Airport,Port Menier;YGV,YZV;49.836399,-64.288597
YPR,Prince Rupert Airport,Prince Pupert;YVR;54.286098,-130.445007
YPY,Fort Chipewyan Airport,Fort Chipewyan;YMM,YSM;58.7672,-111.116997
YQB,Quebec Jean Lesage International Airport,Quebec;YKL,YUL,PHL,ORD,YGP,YOW,YYZ,YZV,YBC,YGR,YHU,YVB,YWK,YYY,YTZ,CDG,PUJ,EWR,YBG,CUN;46.7911,-71.393303
YQF,Red Deer Regional Airport,Red Deer Industrial;YYC,YLW,YMM;52.182201,-113.893997
YQG,Windsor Airport,Windsor;YYZ,YTZ,YYC;42.2756,-82.955597
YQK,Kenora Airport,Kenora;YAG,YHD,YWG;49.7883,-94.363098
YQL,Lethbridge County Airport,Lethbridge;YYC;49.630299,-112.800003
YQM,Greater Moncton International Airport,Moncton;YHZ,YOW,YUL,YYZ,MCO,EWR,YHM;46.112202,-64.678596
YQQ,Comox Airport,Comox;YBL,YVR,YEG,YYC;49.7108,-124.887001
YQR,Regina International Airport,Regina;DEN,ORD,YEG,YVR,YWG,YYC,YYZ,MSP,LAS;50.4319,-104.666
YQT,Thunder Bay Airport,Thunder Bay;YWG,YYZ,YAG,YAM,YTS,YXL,YTZ,YFH,YWP,YHD,YPL,YSB,YYU;48.371899,-89.323898
YQU,Grande Prairie Airport,Grande Prairie;YEG,YYC;55.179699,-118.885002
YQX,Gander International Airport,Gander;YHZ,YYR,YYT;48.936901,-54.5681
YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney;YHZ,YYZ;46.1614,-60.047798
YQZ,Quesnel Airport,Quesnel;YVR,YWL;53.0261,-122.510002
YRB,Resolute Bay Airport,Resolute;YGZ,YAB;74.716904,-94.969398
YRT,Rankin Inlet Airport,Rankin Inlet;YBK,YCS,YEK,YFB,YUT,YYQ,YZF,YZS,YWG,YXN,YTH;62.811401,-92.115799
YSB,Sudbury Airport,Sudbury;YYZ,YAM,YQT,YTS,YYB,YTZ;46.625,-80.798897
YSJ,Saint John Airport,St. John;YHZ,YUL,YYZ;45.316101,-65.890297
YSM,Fort Smith Airport,Fort Smith;YEG,YHY,YPY,YZF;60.020302,-111.961998
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour;YEV,YHI;71.993896,-125.242996
YTE,Cape Dorset Airport,Cape Dorset;YFB,YZS;64.230003,-76.526703
YTH,Thompson Airport,Thompson;YYQ,YFO,YGX,YQD,YWG,YRT;55.801102,-97.864197
YTS,Timmins/Victor M. Power,Timmins;YYZ,YSB,YYU,YTZ,YMO,YQT;48.569698,-81.376701
YTZ,Billy Bishop Toronto City Centre Airport,Toronto;YUL,BOS,EWR,IAD,MDW,MYR,YAM,YOW,YQB,YQG,YQT,YSB,YTS;43.627499,-79.396202
YUB,Tuktoyaktuk Airport,Tuktoyaktuk;YEV;69.433296,-133.026001
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal;YGL,YGW,YQB,YUY,YVP,AMM,CLT,DCA,DFW,DTW,JFK,LGA,LHR,MIA,ORD,PHL,AZS,BDL,BOS,BRU,CCC,CDG,CUN,CZM,DEN,EWR,FDF,FLL,FRA,GVA,HOG,IAD,IAH,LAS,LAX,MBJ,MCO,MUC,PAP,PTP,PUJ,SFO,SNU,VRA,YBC,YBG,YEG,YFC,YHZ,YOW,YQM,YSJ,YTZ,YVO,YVR,YWG,YYC,YYG,YYT,YYY,YYZ,YZV,ZBF,ZRH,ZSA,ATL,ALG,MEX,CMN,CMW,CYO,AMS,MSP,TUN,YWK,FSP,DOH,ORY,AGP,ATH,BCN,BOD,FCO,LGW,LIS,LYS,MRS,NCE,POP,PVR,TLS,VCE,YMT,TLV,PLS,SCU;45.4706,-73.740799
YUT,Repulse Bay Airport,Repulse Bay;YBK,YRT,YZS;66.5214,-86.224701
YUX,Hall Beach Airport,Hall Beach;YFB,YGT;68.7761,-81.2425
YUY,Rouyn Noranda Airport,Rouyn;YGW,YUL,YVO;48.2061,-78.835602
YVM,Qikiqtarjuaq Airport,Broughton Island;YXP;67.545799,-64.031403
YVO,Val-d'Or Airport,Val D'or;YUL,YUY,YHU,YKQ,YKU;48.053299,-77.782799
YVP,Kuujjuaq Airport,Quujjuaq;XGR,YGW,YKG,YKL,YPH,YPJ,YPX,YTQ,YFB,YUL;58.0961,-68.426903
YVQ,Norman Wells Airport,Norman Wells;YEV,YZF,YGH,ZFN;65.281601,-126.797997
YVR,Vancouver International Airport,Vancouver;SHE,YLW,YXY,QBC,YBL,YPW,YQQ,YWL,YXC,YYJ,YZT,YZZ,ZMT,YDQ,YKA,YQZ,DFW,LAS,LAX,LHR,NRT,ORD,PDX,PHX,SEA,AKL,DEN,EWR,FRA,HKG,HND,HNL,ICN,MEX,MUC,OGG,PEK,PVG,PVR,SFO,SYD,YCD,YCG,YEG,YMM,YOW,YPR,YQR,YUL,YWG,YXE,YXJ,YXS,YXT,YYC,YYD,YYF,YYZ,YZP,TPE,JFK,CAN,AMS,MSP,SLC,SNA,MNL,CUN,LGW,MAN,IAH,KOA,LIH,PSP,SJD,YAA;49.193901,-123.183998
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg;YRT,YYQ,DEN,ORD,YEG,YOW,YQR,YQT,YUL,YVR,YXE,YYC,YYZ,MSP,YFO,YQD,YQK,YRL,YGX,YSK,YTH,LAS,YXU;49.91,-97.239899
YWK,Wabush Airport,Wabush;YKL,YZV,YYR,YBC,YBG,YVB,YCL,YUL,ZUM,YYY,YQB;52.921902,-66.864403
YWL,Williams Lake Airport,Williams Lake;YVR,YQZ;52.183102,-122.054001
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook;YLW,YVR,YYC;49.610802,-115.781998
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon;DEN,YEG,YVR,YWG,YYC,YYZ,MSP,ORD,LAS;52.170799,-106.699997
YXH,Medicine Hat Airport,Medicine Hat;YYC;50.018902,-110.721001
YXJ,Fort St John Airport,Fort Saint John;YEG,YXS,YYE,YVR,YYC;56.238098,-120.739998
YXL,Sioux Lookout Airport,Sioux Lookout;YAG,YHD,YQT,YRL,KIF,MSA,WNN,XBE,XKS,YAC,YAX,YER,YTL,ZPB,ZRJ,ZSJ,SUR,YPM;50.113899,-91.905296
YXP,Pangnirtung Airport,Pangnirtung;YFB,YVM;66.144997,-65.7136
YXS,Prince George Airport,Prince George;YKA,YLW,YXJ,YXT,YYC,YYD,YYE,YVR;53.8894,-122.679001
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace;YXS,YVR,YYD;54.468498,-128.576009
YXU,London Airport,London;ORD,YOW,YYZ,YWG,YYC;43.035599,-81.1539
YXX,Abbotsford Airport,Abbotsford;YEG,YYC;49.025299,-122.361
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse;YLW,YVR,YYC,YZF,YEG;60.709599,-135.067001
YYB,North Bay Jack Garland Airport,North Bay;YYZ,YSB;46.363602,-79.422798
YYC,Calgary International Airport,Calgary;YEG,YLL,YXS,DFW,JFK,LAS,LAX,LHR,ORD,PHX,SAN,CUN,DEN,EWR,FRA,IAH,NRT,PDX,PVR,SFO,SJD,VRA,YCG,YKA,YLW,YMM,YOW,YQF,YQL,YQR,YQU,YUL,YVR,YWG,YXC,YXE,YXH,YYJ,YYZ,YZF,SEA,AMS,MSP,SLC,GLA,LGW,MAN,MCO,PSP,YBR,YCD,YHM,YHZ,YKF,YQG,YQQ,YXJ,YXU,YXX,YXY;51.113899,-114.019997
YYD,Smithers Airport,Smithers;YXS,YVR,YXT;54.824699,-127.182999
YYE,Fort Nelson Airport,Fort Nelson;YDQ,YXJ,YXS;58.836399,-122.597
YYF,Penticton Airport,Penticton;YVR;49.4631,-119.601997
YYG,Charlottetown Airport,Charlottetown;YHZ,YUL,YYZ;46.290001,-63.121101
YYH,Taloyoak Airport,Spence Bay;YCB,YHK,YZF;69.5467,-93.576698
YYJ,Victoria International Airport,Victoria;YVR,SFO,YYC,YYZ,SEA,LAS,YEG,YLW;48.6469,-123.426003
YYQ,Churchill Airport,Churchill;YEK,YRT,YTH,YWG;58.739201,-94.065002
YYR,Goose Bay Airport,Goose Bay;YDF,YHZ,YQX,YWK,YYT,YAY,YBX,YDP,YSO,ZUM,YRG;53.319199,-60.4258
YYT,St. John's International Airport,St. John's;LHR,YDF,YHZ,YOW,YQX,YUL,YYR,YYZ,YAY,YJT,FSP,MCO,EWR;47.618599,-52.7519
YYU,Kapuskasing Airport,Kapuskasing;YQT,YTS;49.413898,-82.467499
YYY,Mont Joli Airport,Mont Joli;YBC,YUL,YQB,YVB,YZV,YWK;48.608601,-68.208099
YYZ,Lester B. Pearson International Airport,Toronto;BRU,CLT,DCA,DFW,JFK,LAS,LAX,LGA,LHR,MCO,MIA,ORD,PHL,ANU,ATL,AUA,AUH,AZS,BCN,BDA,BDL,BGI,BNA,BOG,BOS,BWI,CCC,CDG,CLE,CMH,CPH,CUN,CVG,DEN,DTW,DUB,EWR,FCO,FLL,FRA,GCM,GGT,GND,GRU,HAV,HKG,HOG,IAD,IAH,IND,IST,KIN,LIM,LIR,MBJ,MCI,MDT,MEX,MKE,MSP,MSY,MUC,NAS,NRT,PEK,PHX,PIT,PLS,POP,PUJ,PVG,RDU,ROC,RSW,SAN,SCL,SEA,SFO,SJO,SNU,STL,SYR,TLV,TPA,UVF,VIE,VRA,WAW,YAM,YDF,YEG,YFC,YGK,YHZ,YMM,YOW,YQB,YQG,YQM,YQR,YQT,YQY,YSB,YSJ,YTS,YUL,YVR,YWG,YXE,YXU,YYB,YYC,YYG,YYJ,YYT,YZR,ZRH,SAL,TPE,GEO,POS,PTY,CMW,AMS,DXB,ADD,KEF,ICN,CAI,ISB,KHI,LHE,LIS,OPO,PDL,SVO,JED,ATH,GLA,LGW,MAN,VCE,VKO,MYR,SJU,SXM,YLW;43.6772,-79.6306
YZF,Yellowknife Airport,Yellowknife;YOW,YXY,YCB,YCO,YEG,YHK,YRT,YVQ,YYH,YFS,YHY,YFJ,YLE,YRA,YSG,YYC,YWJ,YSM;62.462799,-114.440002
YZP,Sandspit Airport,Sandspit;YVR;53.254299,-131.813995
YZR,Chris Hadfield Airport,Sarnia;YYZ;42.999401,-82.308899
YZT,Port Hardy Airport,Port Hardy;YVR;50.680599,-127.366997
YZV,Sept-Îles Airport,Sept-iles;YKL,YWK,YQB,YUL,YBG,YGV,YHU,YYY,YNA,YPN,ZGS;50.223301,-66.265602
ZFM,Fort Mcpherson Airport,Fort Mcpherson;YEV;67.407501,-134.860992
BJA,Soummam Airport,Bejaja;ALG,LYS,MRS,ORY;36.712002,5.06992
ALG,Houari Boumediene Airport,Algier;CGN,CDG,MRS,AAE,ABJ,ALC,AMM,AZR,BCN,BEY,BJA,BKO,BLJ,BOD,BRU,BSK,CAI,CMN,CZL,DJG,DKR,DXB,EBH,ELU,ETZ,FCO,FRA,GHA,GVA,HME,HRM,INZ,IST,LHR,LIL,LIS,LYS,MAD,MUW,MXP,MZW,NCE,NIM,OGX,ORN,ORY,OUA,PEK,PMI,QSF,SVO,TEE,TGR,TID,TIP,TLM,TLS,TUN,VIE,YUL,LGW,MLA,DOH,MED,TMR,JED;36.691002,3.21541
DJG,Djanet Inedbirene Airport,Djanet;OGX,TMR,ALG;24.292801,9.45244
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset;ALG,ELG,GHA,INZ,DJG;22.811501,5.45108
MZW,Mecheria Airport,Mecheria;ALG;33.5359,-0.242353
AAE,Rabah Bitat Airport,Annaba;ALG,CDG,IST,LYS,MRS,ORN,ORY;36.822201,7.809174
CZL,Mohamed Boudiaf International Airport,Constantine;ALG,AZR,CDG,GHA,HME,IST,LYS,MRS,NCE,ORN,ORY;36.276001,6.62039
TEE,Cheikh Larbi Tébessi Airport,Tebessa;ALG;35.431599,8.12072
HRM,Hassi R'Mel Airport,Tilrempt;ALG,HME;32.930401,3.31154
TID,Bou Chekif Airport,Tiaret;ALG,MUW;35.341099,1.46315
CFK,Ech Cheliff Airport,Ech-cheliff;MRS;36.2127,1.33177
TLM,Zenata – Messali El Hadj Airport,Tlemcen;ALG,LYS,MRS,ORY;35.016701,-1.45
ORN,Es Senia Airport,Oran;AAE,ALC,ALG,AZR,BCN,CBH,CDG,CMN,CZL,GHA,HME,IST,LIL,LYS,MRS,OGX,ORY,TLS,FCO,MAD,MED,TUN,JED;35.623901,-0.621183
MUW,Ghriss Airport,Ghriss;ALG,TID;35.207699,0.147142
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar;ALG,BMW,CZL,INZ,OGX,ORN;27.837601,-0.186414
BSK,Biskra Airport,Biskra;ALG,LYS,ORY;34.793301,5.73823
ELG,El Golea Airport,El Golea;OGX,TMR;30.571301,2.85959
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia;ALG,CZL,ORN,TMR;32.384102,3.79411
HME,Oued Irara Airport,Hassi Messaoud;ALG,CZL,HRM,IAM,ORN,LGW;31.673,6.14044
INZ,In Salah Airport,In Salah;ALG,TMR,AZR;27.250999,2.51202
TGR,Touggourt Sidi Madhi Airport,Touggourt;ALG;33.067799,6.08867
OGX,Ain el Beida Airport,Ouargla;ALG,AZR,ELG,IAM,ORN,DJG;31.9172,5.41278
IAM,In Aménas Airport,Zarzaitine;HME,OGX;28.0515,9.64291
COO,Cadjehoun Airport,Cotonou;LFW,OUA,ABJ,CDG,LOS,BSG,SSG,BKO,LBV,DKR,DLA,ABV,ADD,NIM,ACC,NBO,BZV,PNR,BRU,CMN;6.35723,2.38435
OUA,Ouagadougou Airport,Ouagadougou;ABJ,ACC,BKO,BOY,COO,DKR,LFW,NIM,BRU,CDG,ALG,CMN,ADD,IST,TUN;12.3532,-1.51242
BOY,Bobo Dioulasso Airport,Bobo-dioulasso;ABJ,OUA;11.1601,-4.33097
ACC,Kotoka International Airport,Accra;OUA,DKR,LOS,ROB,KMS,LHR,CMN,TML,FCO,JFK,ABJ,FNA,DXB,ADD,LFW,MLW,COO,MAD,AMS,NBO,FRA,BEY,CAI,NYI,TKD,JNB,WDH,IST,LIS,ABV;5.60519,-0.166786
TML,Tamale Airport,Tamale;ACC;9.55719,-0.863214
NYI,Sunyani Airport,Sunyani;ACC;7.36183,-2.32876
TKD,Takoradi Airport,Takoradi;ACC;4.89606,-1.77476
ABJ,Port Bouet Airport,Abidjan;BOY,OUA,BRU,CDG,ALG,CMN,COO,DKR,ACC,FNA,ROB,CKY,LFW,LOS,BKO,DLA,LBV,NBO,ORY,IST,TUN;5.26139,-3.92629
ABV,Nnamdi Azikiwe International Airport,Abuja;CDG,PHC,LHR,ADD,COO,LFW,NDJ,NIM,FRA,SSG,CAI,ABB,ACC,BNI,CBQ,ENU,GMO,IBA,ILR,KAN,LOS,QOW,QRW,SKO,YOL;9.00679,7.26317
BNI,Benin Airport,Benin;ABV,LOS;6.31698,5.5995
CBQ,Margaret Ekpo International Airport,Calabar;ABV,LOS;4.97602,8.3472
ENU,Akanu Ibiam International Airport,Enugu;ADD,ABV,LOS;6.47427,7.56196
IBA,Ibadan Airport,Ibadan;ABV;7.36246,3.97833
ILR,Ilorin International Airport,Ilorin;ABV;8.44021,4.49392
JOS,Yakubu Gowon Airport,Jos;LOS;9.63983,8.86905
