1,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.08169,145.391998
2,Madang Airport,Madang,Papua New Guinea,MAG,-5.20708,145.789001
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.82679,144.296005
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.44338,147.220001
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.58383,143.669006
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1605,-45.425999
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.190903,-51.678101
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.012222,-50.711603
10,Thule Air Base,Thule,Greenland,THU,76.531197,-68.703201
11,Akureyri Airport,Akureyri,Iceland,AEY,65.660004,-18.072701
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.283302,-14.4014
13,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
14,Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.058098,-23.1353
16,Keflavik International Airport,Keflavik,Iceland,KEF,63.985001,-22.6056
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
18,Reykjavik Airport,Reykjavik,Iceland,RKV,64.129997,-21.940599
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.424301,-20.2789
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.485001,-84.509399
24,St. Anthony Airport,St. Anthony,Canada,YAY,51.391899,-56.083099
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.1325,-68.204399
28,CFB Bagotville,Bagotville,Canada,YBG,48.330601,-70.996399
29,Baker Lake Airport,Baker Lake,Canada,YBK,64.298897,-96.077797
30,Campbell River Airport,Campbell River,Canada,YBL,49.950802,-125.271004
31,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.108101,-105.138
33,Nanaimo Airport,Nanaimo,Canada,YCD,49.05497,-123.869863
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.296398,-117.632004
35,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
36,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
37,Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
38,Coronation Airport,Coronation,Canada,YCT,52.075001,-111.445
39,Chilliwack Airport,Chilliwack,Canada,YCW,49.152802,-121.939003
40,Clyde River Airport,Clyde River,Canada,YCY,70.486099,-68.516701
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.193298,-83.359398
42,Dawson City Airport,Dawson,Canada,YDA,64.043098,-139.128006
43,Burwash Airport,Burwash,Canada,YDB,61.371101,-139.041
45,Deer Lake Airport,Deer Lake,Canada,YDF,49.2108,-57.391399
46,Dease Lake Airport,Dease Lake,Canada,YDL,58.422199,-130.031998
47,Dauphin Barker Airport,Dauphin,Canada,YDN,51.1008,-100.052002
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.742298,-120.182999
49,Edmonton International Airport,Edmonton,Canada,YEG,53.3097,-113.580002
50,Arviat Airport,Eskimo Point,Canada,YEK,61.0942,-94.070801
51,Estevan Airport,Estevan,Canada,YEN,49.2103,-102.966003
52,Edson Airport,Edson,Canada,YET,53.578899,-116.464996
53,Eureka Airport,Eureka,Canada,YEU,79.994698,-85.814201
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.304199,-133.483002
55,Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
56,Fredericton Airport,Fredericton,Canada,YFC,45.8689,-66.537201
57,Forestville Airport,Forestville,Canada,YFE,48.746101,-69.097198
58,Flin Flon Airport,Flin Flon,Canada,YFO,54.678101,-101.681999
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,61.180801,-113.690002
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,61.760201,-121.237
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.2253,-76.596901
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.625301,-77.704201
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.775299,-64.4786
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.778301,-86.9394
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.424702,-61.778099
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8167,-102.310997
67,Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.762802,-117.806
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597,-95.849701
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.173599,-79.934998
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.517502,-73.416901
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.839699,-115.782997
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.880798,-63.508598
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,48.773899,-91.638603
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,72.683296,-77.966698
76,St Jean Airport,St. Jean,Canada,YJN,45.294399,-73.281097
77,Stephenville Airport,Stephenville,Canada,YJT,48.544201,-58.549999
78,Kamloops Airport,Kamloops,Canada,YKA,50.702202,-120.444
79,Waterloo Airport,Waterloo,Canada,YKF,43.4608,-80.378601
80,Schefferville Airport,Schefferville,Canada,YKL,54.805302,-66.805298
81,Kindersley Airport,Kindersley,Canada,YKY,51.517502,-109.181
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,43.862202,-79.370003
83,Chapleau Airport,Chapleau,Canada,YLD,47.82,-83.346703
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.125301,-108.523003
85,Lloydminster Airport,Lloydminster,Canada,YLL,53.3092,-110.072998
86,Alert Airport,Alert,Canada,YLT,82.517799,-62.280602
87,Kelowna International Airport,Kelowna,Canada,YLW,49.9561,-119.377998
88,Mayo Airport,Mayo,Canada,YMA,63.616402,-135.867996
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.330299,-105.558998
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301,-111.222
91,Moosonee Airport,Moosonee,Canada,YMO,51.2911,-80.607803
92,Maniwaki Airport,Maniwaki,Canada,YMW,46.2728,-75.990601
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696
94,Natashquan Airport,Natashquan,Canada,YNA,50.189999,-61.7892
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.521702,-75.563599
96,Matagami Airport,Matagami,Canada,YNM,49.7617,-77.802803
97,Old Crow Airport,Old Crow,Canada,YOC,67.570602,-139.839005
98,CFB Cold Lake,Cold Lake,Canada,YOD,54.404999,-110.278999
99,High Level Airport,High Level,Canada,YOJ,58.621399,-117.165001
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.322498,-75.669197
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,53.214199,-105.672997
102,Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999
103,Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4464,-90.214203
106,Port Menier Airport,Port Menier,Canada,YPN,49.836399,-64.288597
107,Peterborough Airport,Peterborough,Canada,YPQ,44.23,-78.363297
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,54.286098,-130.445007
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672,-111.116997
110,Muskoka Airport,Muskoka,Canada,YQA,44.974701,-79.303299
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.182201,-113.893997
113,Windsor Airport,Windsor,Canada,YQG,42.2756,-82.955597
114,Watson Lake Airport,Watson Lake,Canada,YQH,60.116402,-128.822006
115,Kenora Airport,Kenora,Canada,YQK,49.7883,-94.363098
116,Lethbridge County Airport,Lethbridge,Canada,YQL,49.630299,-112.800003
117,Greater Moncton International Airport,Moncton,Canada,YQM,46.112202,-64.678596
119,Comox Airport,Comox,Canada,YQQ,49.7108,-124.887001
120,Regina International Airport,Regina,Canada,YQR,50.4319,-104.666
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,48.371899,-89.323898
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,55.179699,-118.885002
